,stars,body,name,title
11,5.0 out of 5 stars,"First of all thanks to Amazon to deliver my phone so fast and in very good condition.I recieved my first ever OnePlus today morning.As NORD was one of the hits , I can see Nord CE is on the same way.In Box :SmartPhone with Adapter and Red Cable, super transparent case for phone and some manual stuff.Physics : Can be handle by one hand easily, nice grip , not much slim as shown but fits perfectly in hand. Feels bit weighted not as described by Oneplus.Display is AMOLeD so feels good . Response time is 0.2ms . Fingerprint Scanner works well.Software : SnapDragon 750G is preety good. Good for moderate users. UI is same as other OnePlus models so not much difference.Missing NeverSettle logo on screen.Camera quality is much better than any other phone in this price range.Front as well as rear.Sound quality is good but could have been better, I must say its very loud.Battery :Did my first charge , took 22mins approx to go 100% from 39%.Will update after 2-3 days about battery performance once I play couple of games on it.Rest depends on phone , mine is 12GB 256 GB variant so lots of space which comes with additional 5Gb bree Cloud by OnePlus can be extended to 1TB if needed.Phone is awsome in such low price range.Go for it without thinking in 25K range.Awsome wok OnePlus !! Thanks .",Ajit Thakur,Fab !!
12,5.0 out of 5 stars,"I have one plus six purchase in 2018. It was working fine with no issue. I always have interest on 5 G phone and this was purchase during Amazon sell. The delivery was smooth in one day. The phone has transparent cover no need to purchase any cover. The wireless data , apps, contact transfer between two android phone is so smooth , one should always try while setting the new phone ( both phone should have wifi / SIM card. The phone is much lighter , fingerprint sensor working smooth, fast browsing,  the two specific feature I want to mention , one is battery back up ( more than one day ) and another is excellent picture quality which are the main attraction. I am having I phone 11, but the picture quality is far superior. The discount I received from HDFC as well as Amazon. You may try if you want a change of handset .The photo was taken today at 6.45 PM in cloudy sky and low light . You can see the quality and judge",SAUMENDRA NATH BAGCHI,Impressive and smart phone
13,5.0 out of 5 stars,"The smoothest phone I have used so far. I have used it for 2 days and I don't have any complaints on it so far.  I had used One Plus 2 for almost 5 and half years and then switched to Samsung phone, but I didn't like it. Was looking for a phone in a mid budget range, this is the best.",Sandeep Heggi,Smooth as butter
14,5.0 out of 5 stars,"Wonderful mobile ever, Great Experience Ahead.",Manish Gaur,Everything is awesome in one plus nord CE 5G
15,1.0 out of 5 stars,"23 jun-Update after using almost 4 days,Front camera sucks, I have changed my phone after 3 years and ut is 24k phone which doesn't even have nice front camera, there is too much lag in front camera, you will have to stay steady (atleast 30 secs)to have nice selfie, if you are someone who is looking to change the phone for camera then just think about it, selfie camera is going to give you headache especially in indoor light, I can write pages about its worst camera performance. Rear camera works fine, no issues with that but front one😭😭, my money just got wasted.19 Jun- By look, it is awesome, feels good in hand, light weight but I personally wanted a good camera which it doesn't have especially selfie camera, not happy with the front camera, rear camera is fine, not that bad.",Myra,Disappointed due to camera
16,5.0 out of 5 stars,Best phone this price.,Shivangi shukla,Quality is unavailable.
17,1.0 out of 5 stars,"Worst mobile, dont waste your hard earn money on this pathetic device..",sumit s.,Worst mobile
18,5.0 out of 5 stars,Go for it... Take my word.. nothing better at this price,Bibu PP,Excellent phone ... No match
19,5.0 out of 5 stars,"Your browser does not support HTML5 video.


   A decent phone with an awesome Display ( Colors look vibrant and cool) .Pros.1. Display - Fluid Amolded + 90hz2. Indisplay Fingerprint scanner. ( works falweless every time).3. Decent Battery Backup.4. Very fast charging speed.5. Cool UI and Better ram management.6. Nice Camera - 64MP +8MP+2MP and front 16MPcons.1. Nomore gorilla glass protection.2. Few 5G brand support.",Thiyagu,BEST DISPLAY under this price segment.
20,5.0 out of 5 stars,Pros:OSDisplayCameraProcessorCons:Battery Draining5G Band support (Only 1 band)Single sim 5g standy,Nikhil Tyagi,Decent Phone For Standard use
21,5.0 out of 5 stars,"I definitely liked this phone. Camera quality bus amazing. Touch is good, good processing speed.Earlier I used Mi Note 5 Pro for about 3.5 years and now I switched to One Plus.",Anirudh Eedulai,Very good Phone in this budget
22,5.0 out of 5 stars,Super in chargeing super photo must buy it,Amazon Customer,Super
23,5.0 out of 5 stars,"First oneplus product owned till now and I am quate Happy with mobile with respect to camera quality, features provided too. Reagarding its operating system it's very very smooth, also battery runs for a day using zoom and microsoft teams meetings.",Gokul Patil,"Nice camera, smooth working  and ample of features"
24,2.0 out of 5 stars,Camera quality not good,K. Murali krishna,Camera issue
25,5.0 out of 5 stars,Excellent mobile from one plus  best price also for new one plus users. Finger print is quick and battery life is ok. Camera is good.,chbharath,One plus is the best brand
26,5.0 out of 5 stars,Oneplus is always Oneplus.Very good phone at this price. Nice looking and decent performance. Delivery boy was very good. He asked me to open in front of him running camera. This kind of guys really need in this job.,Sukanta Biswas,This is 3rd Oneplus and not disappointed
27,5.0 out of 5 stars,Excellent 👌all are super,sateesh,Fabulous
28,1.0 out of 5 stars,"Waste of money, phone heats like a volcano. Will suggest all to go for other brands. Camera is also not good.",Shubham Dajjuka,Waste of money
29,5.0 out of 5 stars,good,Vittal Rao Gadipelli,"OnePlus Nord CE 5G (Charcoal Ink, 8GB RAM, 128GB Storage)"
30,5.0 out of 5 stars,Good buy,Hitesh Sukhwani,Best phone Available in the Market with this budget
31,5.0 out of 5 stars,"Awesome phone, received in good packaging and well before time. Love the product and service by Amazon. Thankyou",Amazon Customer,Great product..highly recommended
32,5.0 out of 5 stars,Editing it after a week of usage.Charging speed is absolutely unmatchable with anyone other phone in this range. It barely takes 30min to get fully charged. Camera is brilliant. Phone is very slim and light in  weight. Pubg is running very smoothly. Oxygen os experience is exciting. If u want a quality phone and especially if you want to try OnePlus. Then go for it without any thought..all the negative feedback is just fake.  You will know that after using it.These negative commenting critics expect to have  everything in a phone at 23k. After all it's just a phone to use. Don't overthink and  Choose wisely.,Naveen,Stunning look.
33,5.0 out of 5 stars,I really like the processor and the quality of camera but this phone's battery life drains much faster than the older OnePlus mobiles . Also it heats up faster than the others,Amazon Customer,It's awesome
34,5.0 out of 5 stars,The mobile is lightweight and feature wise it is excellent... prompt delivery by Amazon.... performance wise it is early to say but affordable and simple in operation,Amazon Customer,Overall nice features at affordable price
35,5.0 out of 5 stars,"Your browser does not support HTML5 video.


   The mobile is a light weight and good to use , comes with 3.5mm jack as well,should have given glass back cover in the price. This varient is 8GB/128GB.Bought it during first day sale. MRP 24,999/-. price should have been not more than 21,000 for this varient.will review again after one month of usage.",SUMEET SINGH,First review
36,5.0 out of 5 stars,Nothing to say,GOVIND KASHYAP THE WARRIOR,Overall good
37,5.0 out of 5 stars,"Camera quality is very good,the phone is very light weight and it has very good sound quality.",Ashik Meeran A,Must buy
38,5.0 out of 5 stars,Best,Happy Agarwal,So good phone
39,5.0 out of 5 stars,Battery Backup is excellent,Ravi Kumar Kalwala,Battery
40,5.0 out of 5 stars,Warp charge was the best go for it,Sumit ravariya,Fast charging
41,5.0 out of 5 stars,Battery back-up good.,MK,Battery back-up good.
42,5.0 out of 5 stars,Good,Shilpi priya,Good
43,5.0 out of 5 stars,Amazing processor for this price range,diwakark,It's a worth buying this phone
44,5.0 out of 5 stars,Awesome product,GULSHAN KUMAR,Awesome product
45,5.0 out of 5 stars,Go for it.,Biplab D.,Its One Plus and it's quality ❤️
46,5.0 out of 5 stars,I am fully satisfied best phone in this segment value for money,Rajnish Tomar,Value for money
47,1.0 out of 5 stars,I am using this product since last few days and found below observation-1. Worst camera in this price segment including front & rear both2. Display is just ok3. Form factor is good light weight and slim,Anil,Worst camera in OnePlus CE 5G
48,5.0 out of 5 stars,Amazing superb mind blowing,Mayank,Amazing
49,4.0 out of 5 stars,Just say one word it's a phone that everyone want to use in this kind of mid range price,Ratneshwar Singh,Light weight and easy to use
50,5.0 out of 5 stars,10 out of 10,jatin solanki,super product
51,5.0 out of 5 stars,Good one !Mid range killer,Ajay,Mid range killer !
52,5.0 out of 5 stars,Awesome phoneGood cameraTouch screen goodRobust design,harpreet,Great phone at this price
53,5.0 out of 5 stars,One+ mobile screen is Good and all phone is Very good,Abdul Zameer Abdul Rahim,Super one+ one of the. Best phone
54,5.0 out of 5 stars,Awesome thanks and Good Camera 📷 Quality,POORAN CHOUDHARY,Awesome Mobile
55,5.0 out of 5 stars,Amazing Product One plus.,rajender,Quality
56,5.0 out of 5 stars,Extremely user friendly.Fully satisfied.,Dhairya Bhimwal,Outstanding phone.
57,5.0 out of 5 stars,Good,Harish.B.M,Good value for money
58,5.0 out of 5 stars,"Your browser does not support HTML5 video.


   Not good phone",chirag patel,One plus mobile phone good
59,5.0 out of 5 stars,Good phone . smooth and handy...,Prasun Ghosh,Best phone
60,5.0 out of 5 stars,Good,Amazon Customer,Good
61,5.0 out of 5 stars,"I got my phone today afternoon. This is just a quick review for anyone considering to buy. I went ahead with the phone because my usage is pretty basic, I don't game much and I am on a budget. Plus, I've used oneplus phone before thus the blind trust. (Fingers crossed)Review: The delivery was timely by Amazon.The phone set up was easy and quick.All the cameras are just above average. (Pictures, selfies and videos too)No heating issue experienced so far.Charging is fairly quick. (Wouldn't say as promised)The display is nice and bright.The bluetooth connectivity is quick.Audio is loud enough but just one speaker at the bottom. It has an audio jack too!Network connectivity is good (in my area)I like the build quality, it's thin. The blue color is unique in a way. (Blue shade gets darker on the edges)So far no regrets. I will post an edit if required.",Aishwarya Mogera,Quick review: Day 1 usage
62,1.0 out of 5 stars,The smartphone screen got completely blackout only after 10 min.,Akshat,Phone not working
63,5.0 out of 5 stars,Great Phone..,Kartik K.,As Expected!
64,5.0 out of 5 stars,Nice product,NAYAN BISWAS,Its good product
65,5.0 out of 5 stars,It's more than better than I expectedIt's very very nice productIt's fast deliveryProsser -very goodCamara quality-camara quality more than better than I expectedBattery-goodValue of money -yesStorage -very goodI think it's best phone in the worldGo to this product and buy nord ce,Hisham art and craft yt,It's More than better than I expected
66,5.0 out of 5 stars,• Lightweight and slim• Processor is very smooth• Night mode camera opt is too good.• Headphone jack is back with this one.,Harshad Ranade,Just awesome ✓✓✓
67,5.0 out of 5 stars,Nice Phone,Amazon Customer,looking good
68,5.0 out of 5 stars,After 3 days of usage I can say that it's worth buying this phone.... Good battery... Great Camera.. Smooth ExperienceBuy blue void colour only... Black is not that cool..,Ankit,Great phone at this price..
69,5.0 out of 5 stars,Just blindly go for it i have using it since 2 days performance was top notch midrange flagship killer with performance,Amazon Customer,Excellent excellent product and performance
70,1.0 out of 5 stars,heating issueWorst phone fro one plusCamera was good,Prasad,"Most worst phone in my life,lot of heating issue.dont buy this product.i am a very big fans"
71,5.0 out of 5 stars,Slim & light weight,Akhil,Super Smooth
72,5.0 out of 5 stars,Good design,Arush,Good design
73,5.0 out of 5 stars,,Nikhil.k,As expected
74,5.0 out of 5 stars,Nice,SATEESH PINDI,Good
75,5.0 out of 5 stars,Nice entry level oneplus smartphone,Gowtham,Smartphone
76,5.0 out of 5 stars,Very nice mobile. Im happy with oneplus. Great mobile.,SHEM RATHORE,Awesome mobile. I love oneplus Nord ce
77,1.0 out of 5 stars,"First of all this phone has degraded quality based on processor, camera, charging etc compared to other OnePlus devices including OnePlus Nord. Selfie camera is just way too pathetic.takes too much time for charging .. in short its just like all other average android phones with big price tag!!! Not much speciality of OnePlus features. Over priced!",Soumya,Worst product till now by Oneplus.
78,5.0 out of 5 stars,Nothing to dislike about it.. extremely best smartphone in this price range.,Atul Deshmukh,Overall Quality and look very good
79,5.0 out of 5 stars,Decent midrange phone..,kathir,Nice..
80,5.0 out of 5 stars,,Amazon Customer,Awesome one plus first time slim phone fast charge and very fast perfomance
81,1.0 out of 5 stars,"Don't switch to OnePlus, it used to be a good company, but now they're also like other brands.Releasing 4-7 new phones every year without software support/updates.I was using OnePlus 7T and recently updated to the android 11, now my phone is like why you have trusted OnePlus and installed this update.They're introducing bugs to their old devices, so that their old customers should buy new OnePlus phones.I used to be a OnePlus fan, but now I'm suggesting don't buy OnePlus.",Manoj Kumar,OnePlus is now setteled
82,5.0 out of 5 stars,I didn't receive my pre-order cashback Yet!,Sharan,Cashback
83,5.0 out of 5 stars,Nice ProductThanks AmazonThanks OnePlus,Nayan khandor,Mobile Is Best
84,5.0 out of 5 stars,,Anand Chaubey,Great phone camera so good and looking fabulous
85,5.0 out of 5 stars,love it!!,Aldrin Rathnakumar,Great Product
86,5.0 out of 5 stars,"So here is my review after 3 days of monitoring performance and overall experience. I am first time one plus user. Always wanted to try one plus . I am a samsung lover and also iphone user. For me comfort, ease and technologically advanced features matter the most. This phone is very well in all these aspects. I have medium to high usage. Call and texts throughout the day. Checking websites making notes, social media usage is high too. With my old phone samsung A50 I could get issue with battery by the time it is 7pm  to 8pm but with this phone it survives well till 12am too. Not sure if it is genuinely fast charging as haven't got a chance to charge in hurry or so.The touch is very smooth and finger print sensor is marvelous. The look, specially the back is gorgeous. Rest it looks very similar to my old phone. Same height and thickness too the same. It was also this light and slim and had similar edges. Though this one is not glass back, it still looks premium with some kind of hard material.Camera is too good. Took some random pics staying came out really great. At night pics were little grainy bt I guess it's with every phone. Didn't happen to go anywhere in sunlight so no idea abt those kinda pics.I need to get acquainted to some differences in this oxygen os bt rest due to one plus switch I was able to transfer everything including my call logs from previous phone.Phone is fast reliable and camera is great. Looks I would give 10 on 10.With no cost emi and hdfc 1000 off, the 12gb model is really a budget model with all amazing features.Will update the review after few months!",Krupal d.,Phone is fast reliable and camera is great. Looks I would give 10 on 10.
87,5.0 out of 5 stars,"The OnePlus Phone is excellent in class...!!!I am very satisfied with OnePlus Nord CE 5G.As expected, phone has gave best performance.Guys, you can go for it...!!!",Kamal Kashyap,OnePlus Nord CE 5G is a flagship Killer!!
88,5.0 out of 5 stars,Awesome CAmeraBeasT Battery90Hz Refresh raTe is jusT Give Uhh a Smoother experience& Oxygen Os Is Always🔥🔥🔥Awsome Phone🔥🔥♥️♥️Thank You Oneplus,Masoom raza,Nord Ce Is A BeasT 🔥
89,5.0 out of 5 stars,Better backup disappointed,Mehul,Bettrery backup not good
90,5.0 out of 5 stars,"Its a good phone in this price range. The OS, performance, the quality, all are good. You should try this if you are planning to buy a mid range phone.",Akhil Vijayan,Affordable OnePlus
91,1.0 out of 5 stars,Please don’t buy one plus nord ce. It’s useless phone .Final verdict : not worth for money,Amarnath,Not as Expected
92,5.0 out of 5 stars,Best performance at this price range,Talha iqbal,Best phone in this budget.
93,5.0 out of 5 stars,Good product at such an affordable price.Wow just wow😍,Mohit pant,Review
94,5.0 out of 5 stars,Excellent phone in this price,ketan,Excellent
95,5.0 out of 5 stars,Really happy to have this one .... Loved it,Beena sharma,Amazing phone 🥰
96,5.0 out of 5 stars,Awesome!!!!,S.Abilash Hari Haran,Awesome!!!!
97,5.0 out of 5 stars,Amazing product. Very nice display. Good camera. Good sound. Overall amazing use experience in this prince range.,Mohammad Zubair Ahmed,Value for money experience
98,4.0 out of 5 stars,"This is my first pre-order phone and I ordered this phone on 11th June and Amazon has delivered on 18th June.Some of my observations are:1) Excellent display.2) Great sound- both in headset and speaker3) Sleek and light weight.4) Promotional 1TB cloud storage valid for 1 year only whereas it was not mentioned in the product details page.5) Excellent call quality.6) Camera is good but not best as I expected.7) A rigid and beautiful back cover.❤️8) This charcoal ink color is fabulous.But, battery drain is draining very fast; expecting an quick update from OnePlus to fix this.Rest is good. Only 2 days of experience.",Prateek Agarwal,Thanks to Amazon and OnePlus 🤗
99,1.0 out of 5 stars,Dual App option not available for all the Apps. It makes me very disappointed.,Amazon Customer,Dual App option not available for all the Apps.
100,1.0 out of 5 stars,"You should not buy this phone because it's literally waste of your money!! After using 3 days i have already started to get some issues , battery is fine and camera quality is too bad and night mode is even more worse !! See i am not having any personal issues , i just want others to not waste their money like me .",Paras Saini,Not good one from OnePlus
101,5.0 out of 5 stars,It's a very good phone in the 20k category.The good feature is it doesn't come with bloatware and messy OS like Mi.I'm liking it,Pavan,Good budget phone
102,3.0 out of 5 stars,"Even though it has 64mp, camera clarity is poor in pro mode. Pictures look like taken in 12mp camera.Build quality is not a that great..to reduce price one plus has reduced the quality...Battery back up is good.Performance is good.GoodBatteryDisplaySlimCompetitive priceBadCamera is not up to the markCheap build quality",Sridhar R,Poor camera with good performance
103,5.0 out of 5 stars,Wonderful phone at this cost. Very smooth operation. Size perfect for a perfect grip. Light weight. Screen resolution is too good. Camera quality is also very good. Shoots good images even in low light. True colour reproduction. Every feature perfect mobile except that its speaker is not dual speaker and out put is bit ok.,Neeraj,Perfect mobile phone at a perfect price
104,1.0 out of 5 stars,I am a One plus Fan and was eagerly waiting for my Nord CE which I pre-ordered. I received it on 19th(thanks for the quick delivery Amazon). But as soon as I turned on phone I was surprised that they removed the button to switch the phone to silence mode. The body looked cheap. I own a One Plus Nord 5G mobile and Below are my reviews on the new Nord CE phoneAfter testing it for 24 Hours rigourously.Cons: 1) Body looks cheap2) Silence knob/button removed3) Camera performance is Very Very bad. The picture looks grainy when you Zoom it.4) Slight heating noticed.5) It hangs at low charging.Pros: 1) Video performance bisngoodncompared to Nord 5G,akram pasha,Bad performance
105,4.0 out of 5 stars,"I pre-ordered this 6/128 Charcoal Ink variant on 11th and recieved on 19th..No wasting time, Lets Jump in to it!Pros:1. Lightweight and Good Design.2. Premium design3. OLED 90Hz display4. Big Storage and Solid RAM.5. 3.5mm jack is back fellas.Cons:1. Little slow for face recognition lock2. Sometimes fingerprint lock doesn't recognize my own finger ( Glad I have number lock)3. Camera is ok but it feels like out of White Balance.4. Ultra-wide camera sucks.5. No microSD card slot (128GB is good for me though)6. No stereo speakers (but Sound quality is good and loud7. Charge drains faster8. Charging takes so much time. Not a warp charging.That's it guys.. I don't think Its worth the price.. Honestly these are my thoughts... Will update after a month... Hope this helps you guys... Have a great day... Peace..",Praveen Sen,Edited: It's not an upgrade.. believe me..
106,5.0 out of 5 stars,Awesome mobile i loved it because of the speed clarity and camera like ect. And it is user friendly also,Ganga Devi,Perfect price for all the people
107,3.0 out of 5 stars,"Ohh OnePlus Nord CEPros.1. Look is decent2. Display screen is great3. Oxygen os is good as it is.4. don’t except more..from thisCons.1. Night camera is worst2. Biggest cons I believe is Battery which drains so fast..with normal usage as well it won’t last for a day.3. Expensive, base variant should have been start with 19k.",AP,Mobile is OK but battery drains so fast
108,3.0 out of 5 stars,"So I'll get straight to the point.. This is an excellent phone for people who haven't used one plus phones and want to try out a new OS.But it's a bad option for people who think of switching over to this from another one plus model.1) Frankly the battery charging time claimed by one plus is completely bogus. It takes around 1 hr to charge it to 50% and more than 1.5 hr to charge it completely. And it discharges fairly quickly too. With just around 2.5 hrs of screen on time and 15 hrs of standby time my battery went from 100% charged to 20% which is really poor.2) the camera quality is good enough for capturing in outdoor sunny conditions even though the pictures are a bit overexposed. Not good for low light.3) OS is excellent and clean. I have 6gb model and around 123 apps installed and it hasn't lagged so far.4) very good for one hand use specially because of all the gesture/swipe features.5) gaming is good enough. Because of the slightly older cpu you can play games like pubg at 30fps.6) screen quality is beyond words exceptionally good. Love the in display fingerprint scan albeit a little slower.7) the always on display feature is pretty good. Doesn't consume much battery coz it's amoled and the black pixels don't consume much power.8) for people who haven't used alert slider on one plus phones before, you are not missing out on anything. You can't know the difference when you haven't used it right?9) one thing I discovered was the if you turn in the flashlight, you can see the entire edge of the phone light up. You can see the picture. Now I don't know if it's a good thing or a bad thing. Proves it's definitely not a water repellent phone.10) one really weird thing is that on this phone the company forgot to give (yes forgot!) an option for making your Bluetooth discoverable by other devices so you can't find this phone on any other device. You will have to manually pair this phone by making the other device discoverable.Verdict : apart from the fact that it's a little overpriced for the features they are giving you, and the battery and other minor issues which can be solved if the company decides to give an update, leaving all this aside, I'm pretty happy with the experience. Coz at the end of the day isn't that what you're paying for? The experience of using a one plus device?",Ayush Kamal,Not perfect.. But getting there.
109,5.0 out of 5 stars,Good phone and Amazon's should keep good executive if it has to be leader in Indian market.Keep Gujrati rather than punctureputra,jainendra,Good one
110,1.0 out of 5 stars,"This device is not even close to 12 gb ram.. I have OnePlus 3 as well which is still working and usable than this device. Camera is lagging, Apps crashing, touch issues, over heating. If you're a minimal user like calls, social networking and basics then buy it. Don't be under the impression that it is similar to rest of the OnePlus devices.",Ahmed,Wrong decision taken
111,1.0 out of 5 stars,"Your browser does not support HTML5 video.


   Worst product experience.Date: 22 June 21Product received : 21 June 21Guys believe me I never thought it would be one plus who would do such crap.The phone is fully updated, loaded etc etc which turned to be rubbish later.Tried to open a normal Google app which is provided inbuilt here, the app itself crashed  many times. Have a look at the video shared.",Praveen,"Worst Product,Actually cheap"
112,5.0 out of 5 stars,"Below are my thoughts after using this phone for a week. Hope it would be helpful for you buyers. Uploaded photos in all the modes.*What I like best*1. Very handy and a premium look at this price.2. Design and shape is awesome.3. 90hz display is as fast as it can.4. Fingerprint unlock is too good.5. Features like dark mode, vision comfort are also very helpful as per the light in your surrounding.6. Light weight and slim.7. Camera performance, especially in daylight is very good. Night mode is very clear and original.8. Battery back up is awesome and gets fully charged in hardly 45 mins.9. Speakers are also good with a great output.10. Best part is 3.5mm jack, which is missing in original Nord. :-)*What could have been better*1. Camera could have been more better during dim light. Still its good at this price.2. Back body is made of cluster of different materials and doesn't feels that premium as compared to original Nord (I used original Nord before this). Well that's what they did to reduce the weight in this product, else glass material like nord is always bulky.3. Photos taken above 2x will blur a little bit (hardly noticeable) and won't be that clear once zoom in.OVERALL, A VERY GOOD QUALITY AND PREMIUM PHONE AT THIS PRICE WITH ONE+ AS A BRAND.Please like the review if it's helpful.Thanks and have a wonderful buying on #Amazonisthebest",Suhaib_Xception,Premium phone in low price
113,1.0 out of 5 stars,"This phone is a total disappointment. I had been using OnePlus 5T for over 3 years and the phone was working brilliantly with no flaws in performance whatsoever. Hence, decided to stick with the OnePlus brand and bought the Nord CE5G. However, this is nowhere close to my old phone and has multiple issues. Deleting of files on gallery takes forever, proximity sensor is faulty prompting you to mute yourself in between calls, jiotv doesn't work and the touch performance is below par. I would not recommend this phone to any existing OnePlus user!",Chetsj,Disappointed!
114,5.0 out of 5 stars,"When will the silver color availableI am waiting for silver color.Any storage is fine, 8gb or 12 gb",Basha,When will the silver color available
115,5.0 out of 5 stars,"Pros and cons according to mePros:•Light-weight•Oxygen os•Smooth screen•sound is good though there is only speakerCons:•slightly ok for me regarding camera but I think it's not that much worthy for a mobile of this budget ,anyhow I am not judging it's just an opinion•no alert-slider",Vamsee,Light-weight
116,1.0 out of 5 stars,Disappointed with camera.. Camera  is worst in low light. 10000 rs mobiles can capture good pictures than oneplus nord CE. Battery also drains fast. The only good thing about this mobile is smooth performance.,Arya,Below average
117,5.0 out of 5 stars,The phone is sleek. Super handy. The blue color is killler. Screen is smooth processor is fast. The over-all feel is top notch premium.Camera could have been better.,Rohit A.,Fantastic
118,5.0 out of 5 stars,"Why no reviews ? It's a great phone at this price point , lighter and slim ..Wish they had made this a 6 inch phone..must buy if you want slim ,light weight,. mid range price",akbar,It has reduced my hand pain I was suffering from since 6 months..
119,2.0 out of 5 stars,"After using Oneplus 3 for almost five years, I bought this phone and really disappointed.1. Camera is below average like any other cheap phone, doesn't seem like 64mp at all. Triple camera certainly not doing it's job well.2. Despite of having a 4500mAh battery, it gives same backup as 3000mAH battery.3. Finger Scanner is an another disaster, takes more than a second to open. Where as oneplus 3 had much faster response.4. Colors seems off for some reason. Even Customize color setting is also not helping.5.Why the hell they removed Slider Switch which is there in all oneplus phones. Another level of stupidity.Over all I am totally unsatisfied with this model of oneplus, they have surely entered into money making business than giving good phones to the customer.",Dipesh R. Pandit,Big Disappointed from Oneplus.
120,4.0 out of 5 stars,"The entire phone rides on the Oxygen OS. I personally am an OnePlus fan boy and have been using OnePlus since OnePlus 3. I switched from my 3 year old OnePlus 6 to Nord CE and to me, it feels like an upgrade. Battery life is fantastic and you can look at this gorgeous display all day long. I am missing the alert slider since I have been used to it, otherwise everything works like a charm. Vibration motor feels extremely cheap, but I am person who doesn't use haptic feedback so it didn't affect me much.Over-all, I would recommend this phone to people who appreciates clean and stock android. Definitely not a value-for-money device",Karthik,OnePlus experience at an affordable price!
121,2.0 out of 5 stars,I am very disappointed after seeing such type of quality from one plus brand .the camera quality is lyk phone under 10k .Battery drains too fastLooks good and slim but not at all,Ritu Sharma,Ever Worst  one plus phone
122,5.0 out of 5 stars,First of allI am thankful to Amazon for providing such lovely mobile.Delivery was 12 hours earlier than expected.I am using this mobile 24 hours a day since I received.Not find any issue till date.I am happy to have this mobile.,Bus naam hi kafi hai,Mera one plus aa gaya
123,5.0 out of 5 stars,Superb,Yogendra Maheshwari,Good and economical best in this price
